4. Посевы в тг,"вышли посты в 12 каналах , скрины по ссылке  https://drive.google.com/drive/u/0/folders/1SzUg8-xS3JK4EYuawbeJjQLc-FqhyJfy",,
,,,
,,,
,,,
,,,
,,,
23-29.01.26,,,
1. Проработка блогеров,согласовано сотрудничество с https://www.instagram.com/phil_padel (посещениее 1.02) ,,
2. Расширяем список партнеров для кросс-промо ,"Запустили подарочное партнерство с  https://t.me/sammeryoga (переданы подарки на 25.01 и 14.02, готовим к запуску конкурс в соц.сетях и промо материалы), состоялась встреча с  https://t.me/vidnayausadba, получено предложение сотрудничества с https://padel-sports.ru/, предложение по ссылке https://docs.google.com/spreadsheets/d/1KIvABTABnAhHZfR7q6_Cj1GYD4h6ewEL/edit?usp=sharing&ouid=117627425991612729911&rtpof=true&sd=true, назначена встреча с https://palmira-garden.com/ на 02.02, готовы к сотрудничеству  https://t.me/Mejdy_namii  согласовываем детали.   ",,
3. Участие в программах лояльности: поиск программ и сбор условий ,"1. бонусная программа лояльности  от Газпром 2.https://primezone.ru/ru/ - формирование предложения для клиентов  3.Социальный маркетплейс BRICS Charity Клумба, формирование предложения 4. проведена встреча с Гранд купон",,
4. Посевы в тг в районных группах ,"Подготовлен пост общий+ бесплатные мк, детские группые и семейные турниры, запущено размещение постов в 12 каналах ",,
,,,
,,,
,,,
,,,
16-22.01.26,,,
1. Проработка блогеров,"вышли обзоры у блогерв https://t.me/mozhnorita/3322 , https://t.me/irenasplanet/3834",,
2. Анонсирование бесплатных мастер-классов для детей,"https://t.me/irenasplanet/3834 , https://t.me/roditelixxl/764 , https://t.me/kudapoitisrebenkom",,
3. Расширяем список партнеров для кросс-промо ,"статус во вкладке Местные развлечения_Видное.  В процессе обсуждения и запуска: https://t.me/sammeryoga и https://t.me/vidnayausadba, получено предложение сотрудничества с https://padel-sports.ru/, предложение по ссылке https://docs.google.com/spreadsheets/d/1KIvABTABnAhHZfR7q6_Cj1GYD4h6ewEL/edit?usp=sharing&ouid=117627425991612729911&rtpof=true&sd=true",,
4.Участие в программах лояльности: поиск программ+ условия ,"Получены условия Альфа банка, идет сбор информации по другим программам лояльности",,
5. СМИ,"Согласовали сотруднчество с изданием ""Видновские Вести""запускает конкурс в честь 95-летия. ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
25.12.25-15.01.26,,,
1. Посевы по канала в НГ праздники ,"вышло 23 поста,   прибавилось 80 подписчиков в тг, вкладка ТГ каналы_Видное_анонс , скрины: https://drive.google.com/drive/u/0/folders/1su0pO_2IECHRhV6aE1v-vTfDm_ycJKBR ",,
2. Проработка блогеров: достигнуты договоренности по обзору с двумя блогерами ,"вышел обзор у блогера https://www.instagram.com/reel/DSzh0-cCEUg/?igsh=Ym90NTVtNjhpZms4  ожидаем обзор от блогера в инстаграм  https://www.instagram.com/allishhas?igsh=MW9hNmE2OWtiNnkwZw== + пост со спец. предложением для сообщества https://t.me/alivapadelchat/29/364, ожидаем выхода обзора от блогера : https://t.me/irenasplanet",,
3. Сообщества по Паделу ,"Привлечены для сотрудничества: https://t.me/duckpadel/1, https://t.me/Padel_k_Slave идет обсуждение условий",,
4. Расширяем список партнеров для кросс-промо ,"Обсуждаем кросс-промо сотрудничество с https://palmira-garden.com/, https://sila-siama.ru/, https://vidnaya-usadba.com/, https://mmspa.ru/  - раздача промо, размещение роликов, обммен оффферами  (ждем обратной связи до 21.01)",,
5. Подготовка анонсирования мероприятий центра,"мастер-классы для детей 20 и 25 января, рассылка анонсов в паблики и СМИ, ожидаем обратной связи ",,
,,,
19-25.12.25,,,
Подготовка посевов в новогодние каникулы и бронирование дат,"районные каналы и группы в ТГ: Видное, Подольск, Бутово и другие соседние районы, районы в сторону Москвы забронировано 18 каналов по счетам + проработка чатов и жк",,
Подготовка посевов в новогодние канинулы ,сообщества падел-игроков,,
"Сотрудничество с батутными центрами ""Небо""",пост поддержки: https://t.me/nebo_sportmsc/2827,,
"Проработка блогеров: два блоггера посетили центра на этой неделе, запланирован на 6 января ",вкладка Блогеры_Видное - cтатус: ожидаем обзор от блогера в инстаграм  https://www.instagram.com/allishhas?igsh=MW9hNmE2OWtiNnkwZw== + пост со спец. предложением для сообщества https://t.me/allishhasblog ,,
Расширяем список партнеров для кросс-промо ,"Обсуждаем кросс-промо сотрудничество с https://palmira-garden.com/, https://sila-siama.ru/, https://vidnaya-usadba.com/, https://mmspa.ru/  - раздача промо, размещение роликов, обммен оффферами  (реализация после каникул НГ)",,
,,,
,,,
,,,
,,,
12-18.12.25,,,
"1. Сотрудничество с батутными центрами ""Небо"""," От них: ожидаем поддержку в их соц.сетях., пост до 19.12",,
2. Сотрудничаество с студией шаров в Видном,отправили 500 шт. листовок,,
3. Проработка блогеров: достигнуты договоренности по обзору с двумя блогерами ,https://www.instagram.com/allishhas?igsh=MW9hNmE2OWtiNnkwZw== (22 декабря приедет) https://t.me/mozhnorita (25 декабря приедет ),,
4.  Сотрудничество с сообществом блогеров  ,согласовываем дату посещения,,
"5. Расширили список тг каналов для посевов  в сторону Москвы и разместили посты (м. Домодедовская, м.Южное, Чертаново)","вкладка ТГ каналы_Видное анонс, вышло 10 постов , скрины по ссылке https://drive.google.com/drive/u/0/folders/1sVuQYCmCAZ79D6k9J4FFWSZ7qq_LEDtl",,
6. Расширяем список партнеров для кросс-промо ,"бизнес-центры м. Южное, м. Домодедовская, отели , spa, термы в районе Видного, направлены запросы о сотрудничестве, собираем базу",,
7. размещение бесплатного поста в падел сообществе Падел Клаб,выход 19 декабря,,
,,,
,,,
,,,
,,,
4-11.12.25,,,
"1. Сотрудничество с батутными центрами ""Небо""","Сертификаты розданы, согласование поддержки в их соцсетях",,
2. Сотрудничаество с Ивент студией в Видном,"готовим листовки для раздачи, запуск на следующей неделе ",,
3. Подготовлен список блогеров для сотрудничества ,"вкладка Блогеры_Видное, согласовываем и начинаем прорабатывать ",,
4.  Сотрудничество с сообществом блогеров  ,согласовываем дату посещения,,
5. Расширили список тг каналов для посевов в сторону Москвы в сторону м. Домодедовская ,уточняем возможные даты размещения и готовим пост. Также прорабатываем в сторону м. Южное,,
6. Расширяем список партнеров для кросс-промо ,"бизнеч-центры м. Южное, м. Домодедовская, отели , spa, термы в районе Видного, направлены запросы о сотрудничестве",,
7. подготовка поста для размещения в сообществе Падел клаб ,,,
,,,
,,,
,,,
,,,
,,,
,,,
27.11-4.12,,,
"Запуск сотрудничества с батутными центрами ""Небо""",На мероприятие в районе Бутово предоставление сертификатов на аренду кортов в качестве подарка за информационную поддержку в социальных сетях и информирование активной новой аудитории,,
Сотрудничество с  студией шаров в Видном,Кросспромо с листовками,,
Обновление базы соцсетей ЖК и подготовка общих постов для размещения,,,
Сотрудничество с сообществом блогеров,"Обсудили возможность совместных блогерских выездов в Видное, для совместных треннировок, для массового охвата , сроки обсуждаем",,
,,,
,,,
,,,
Расширение базы пабликов для посевов,,,
Следующее размещение запланировано после 15 декабря к новогодним каникулам ,,,
,,,
14-20.11.2025,,,
 Размещение посевов в основных канала после открытия Падел центра 16 ноября ,,,
с заменой информации в посте - где возможно были убраны цены после размещения,,,
,,,
,,,
ЖК Видный город,17-нояб.,,
БУТОВО,18-нояб.,,
Подольск Онлайн,18-нояб.,,
Видное Новости,18-нояб.,,
ЖК Зеленые аллеи,18-нояб.,,
Видное️|Подслушано Видное,18-нояб.,,
"ЖК ЭКО ВИДНОЕ 2.0, Сапроново, Москва,",18-нояб.,,
ЖК ЭКО Видное 2.0,18-нояб.,,
"ЖК ВИДНЫЙ ГОРОД, Видное, Москва, МО",18-нояб.,,
Типичное Видное,18-нояб.,,
Падел Клуб,18-нояб.,,
Блоггер Видного ,17-нояб.,,
,,,
,,,
,,,
Что делаем ,,,
Начата работа по бартерному сотрдничеству по паделу с блогерами и пабликами ,,,
запланировано платное размещение в соцсетях к новогодним каникулам,,,
,,,
,,,
,,,
,,,
7-13.11.2025,,,
Вышедшие*,Кол-во просмотров,Дата выхода,"* многие чаты/каналы размещают на ограниченное время, публикации уже сняты"
Домодедовод: новости,"6,4K",7-нояб.,скрины постов: https://drive.google.com/drive/folders/1mXFGf4lEli7g887uvGegGubVFmeGcG9P?usp=sharing
Видное Live,"1,3K",7-нояб.,
Жк Эко Видное 2.0,6.6К,6-нояб.,
УСЛУГИ ВИДНОЕ МСК,82,6-нояб.,
Реклама/услуги/товары/хэндмейд в ЖК ГД,355,6-нояб.,
ЖК Зеленые аллеи,,10-нояб.,
ЖК Видный город,,10-нояб.,
Реклама/услуги/товары/хэндме,301,11-нояб.,
https://t.me/Chat_Vidnoe,,11-нояб.,
"
@Chat_Podslushano_Vidnoe",,11-нояб.,
ДОМОДЕДОВО news,"2,7",11-нояб.,
БУТОВО,"2,4",11-нояб.,
Подольск Онлайн,"6,5",11-нояб.,
Телеблог ПОДОЛЬСК Домодедово Московская область Москва Климовск Залинейный Центральный львовский реклама объявления район,"3,7",12-нояб.,
Секреты Бутово,"1,6",12-нояб.,
Видное️|Подслушано Видное,"2,5",12-нояб.,
Видное Новости,897,12-нояб.,
Типичное Видное,611,12-нояб.,
УСЛУГИ ВИДНОЕ МСК,84,12-нояб.,
ЖК ЭКО Видное 2.0,,12-нояб.,
"ЖК ЭКО ВИДНОЕ 2.0, Сапроново, Москва,",,12-нояб.,
"ЖК ВИДНЫЙ ГОРОД, Видное, Москва, МО",,12-нояб.,
Видное Live,,12-нояб.,
Домодедовод: новости Домодедово,,13-нояб.,
